segment,predictor,coef,coef_bootstrap_n,coef_bootstrap_ci_lower,coef_bootstrap_ci_upper
fencesitter,ss_e,0.12716635128179415,10000,-0.07543081026129309,0.3881639585703215
fencesitter,ss_r,0.3375373005944898,10000,0.14053584567482824,0.5596078432978802
fencesitter,svss_c,-0.017371659128676168,10000,-0.21511414223332875,0.2195605419397168
fencesitter,svss_st,0.021796956764643792,10000,-0.19802596402536557,0.21020163894630853
fencesitter,w,0.09537810058259999,10000,-0.122723622162628,0.36052238133023573
sceptic,(Intercept),-2.6872079477100486,10000,-3.223766528903654,-2.363498445587278
sceptic,bfi_a,0.02719699942533473,10000,-0.1750815807939707,0.23310375036669945
sceptic,bfi_c,-0.052493942939335736,10000,-0.1930542085130077,0.10903521981674263
sceptic,bfi_e,-0.26319163295138454,10000,-0.4306474144461026,-0.07018374667282645
sceptic,bfi_n,0.04729412698100169,10000,-0.09472189662771612,0.22923965464351823
sceptic,bfi_o,-0.009055222325913494,10000,-0.215736931082646,0.17311868768821365
sceptic,cfc_f,-0.3067808064382628,10000,-0.46741718013303474,-0.10977171145491149
sceptic,cfc_i,0.01654949726380253,10000,-0.17656932429631722,0.20710049467890995
sceptic,ci,0.1620149428807129,10000,-0.023621007617260294,0.33716492121034547
sceptic,ews_d,-0.18958226191987113,10000,-0.362658398275161,-0.041274208077652315
sceptic,ews_e,0.30292786334580357,10000,0.1158272599455215,0.46258464140385336
sceptic,kv,0.062314320905054905,10000,-0.10728032887664768,0.2551082973680559
sceptic,mms_cau_c,-0.4353830472886519,10000,-0.5872369456364034,-0.28889809975171127
sceptic,mms_cau_e,-0.22388942121737584,10000,-0.37492206154940555,-0.10306116484951638
sceptic,mms_cau_n,0.04815607001292757,10000,-0.1574620377403045,0.2520890522334426
sceptic,mms_con_p,-0.03255483651691731,10000,-0.21381389585435204,0.10830650237091398
sceptic,mms_con_s,-0.16187171099665146,10000,-0.32742528591650677,-0.018519686936484085
sceptic,mms_hum,-0.21593077373660272,10000,-0.42019953185002323,-0.06825471219557895
sceptic,mms_mit_c,-0.034769164417548695,10000,-0.15734547352797537,0.12915212781862653
sceptic,mms_mit_g,-0.05723819031754501,10000,-0.2039454708726615,0.08373579574060522
sceptic,mms_mit_e,0.011552347625936508,10000,-0.14520498480477,0.1607194382299147
sceptic,ncs,0.08582960301615233,10000,-0.1221462539215411,0.2749407251857874
sceptic,pi,0.25833838043337315,10000,0.09054420043294677,0.46860236326927446
sceptic,sj,0.027287555669633996,10000,-0.16037060826057437,0.2201492458513952
sceptic,ss_e,0.3297302240243532,10000,0.1918717784768069,0.4605857806577872
sceptic,ss_r,0.20961092788829885,10000,0.08686814397731676,0.35442241930866086
sceptic,svss_c,0.27350843381140916,10000,0.06343423174485162,0.4474448306101118
sceptic,svss_st,-0.19187914507849516,10000,-0.33107527935576003,-0.0020532738233705766
sceptic,w,-0.2270110363180378,10000,-0.4445194434059314,-0.07328065577913667
