segment,predictor,coef,coef_bootstrap_n,coef_bootstrap_ci_lower,coef_bootstrap_ci_upper
acceptor,(Intercept),1.64247010211896,10000,1.635395233991814,2.1845066113159772
acceptor,bfi_a,0.03602200108460496,10000,-0.11436649728203915,0.19742319170144362
acceptor,bfi_c,0.03331748391160953,10000,-0.0934202734733084,0.2021367411968544
acceptor,bfi_e,-0.007936699898289159,10000,-0.15033693663086395,0.1418150083129047
acceptor,bfi_n,0.10931291374199399,10000,-0.008490739411542226,0.2965990688997633
acceptor,bfi_o,-0.00299477026407165,10000,-0.1627041420978839,0.1407747470767338
acceptor,cfc_f,0.05313471294888319,10000,-0.11394535767925798,0.2451301188729282
acceptor,cfc_i,0.02378134948011506,10000,-0.11630250150932346,0.2518234168281966
acceptor,ci,-0.14886549733609328,10000,-0.36075523717771024,-0.019238283963719797
acceptor,ews_d,0.18072674463190747,10000,-0.012992974148665275,0.4390281150651829
acceptor,ews_e,-0.1986075818399235,10000,-0.42613384512175034,-0.04798780502338654
acceptor,kv,-0.09842170048324886,10000,-0.33722700612154977,0.011935518442625144
acceptor,mms_cau_c,0.14913578352946952,10000,0.0026579732271806494,0.3469548865948881
acceptor,mms_cau_e,0.08282842929258656,10000,-0.09350285561887364,0.2627820626634398
acceptor,mms_cau_n,-0.07674816090851921,10000,-0.25886685591880293,0.07971374898086016
acceptor,mms_con_p,0.11911253753531639,10000,-0.028276085395520716,0.2964190333199416
acceptor,mms_con_s,0.19082506175942482,10000,0.05524807503504365,0.3904140807969563
acceptor,mms_hum,0.2046994626308603,10000,0.07762129685320822,0.41459023538875056
acceptor,mms_mit_c,0.11143400946476809,10000,-0.02975495117616906,0.3501524154170108
acceptor,mms_mit_g,0.09883734402255172,10000,-0.023369774186626228,0.3003126402761125
acceptor,mms_mit_e,-0.1273381151934312,10000,-0.35989096428096856,-0.013318645469558897
acceptor,ncs,-0.11510999898733247,10000,-0.31814923094154723,0.010422164606703265
acceptor,pi,-0.1844121898212,10000,-0.41297513427571314,-0.03592220553961325
acceptor,sj,0.03644212955087966,10000,-0.12317174844805485,0.2530014513500784
acceptor,ss_e,-0.3338019138071012,10000,-0.5913315049681623,-0.2575888374520934
acceptor,ss_r,-0.2899815795093342,10000,-0.5518282921653931,-0.19150498808339012
