"Like","Unlike","Like","Like","Like","Unlike","Neutral","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Like","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","people need to  talk about the fact that carbon dioxide is only about  .04 . no matter what Australia does toward climate change it will have virtually no change, Other ountries such as China and India are still not doing anything at all and they produce far more than Australia ever has","NA","climate  change has always been","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C1","C7","C9","C8","C8","C2","C6","C2","C6","C3","C3","C3","C4","C4","C6","C7","C6","C7","C4","C5","C5","C5","C5","C5","C7","C5","C3","C4","C6","C4","8.41188597679138","0.0156350135803223","319.040931940079","266.307293176651","487.536711931229","4","1","TRUE","TRUE","NA","NA","33","0","0","0","7420087","3951005","2020-02-25 16:04:57"
"Like","Unlike","Unlike","Like","Unlike","Unlike","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","Unlike","Like","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","It needs to be addressed.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","A bit irrational.","NA","NA","C9","C2","C4","C8","C4","C4","C4","C8","C7","C7","C7","C7","C6","C6","C6","C4","C6","C3","C6","C5","C5","C5","C5","C5","C5","C2","C3","C1","C3","C3","16.9030730724335","0.015606164932251","131.264307975769","23.4068510532379","471.322361946106","3","1","TRUE","FALSE","NA","NA","62","30","12","6","8693222","8794848","2020-02-25 16:17:55"
"Like","Like","Like","Like","Neutral","Like","Neutral","Like","Like","Like","Neutral","Like","Neutral","Like","Like","Like","Like","Neutral","Like","Like","Like","Like","Neutral","Neutral","Like","Neutral","Like","Like","Neutral","Like","NA","NA","NA","NA","NA","NA","NA","NA","they don&rsquo;t do the right things ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","they don&rsquo;t do the right things ","NA","NA","NA","NA","C5","C6","C7","C4","C4","C7","C5","C8","C9","C5","C6","C4","C7","C3","C6","C3","C2","C4","C5","C6","C7","C8","C3","C2","C5","C1","C6","C4","C5","C3","4.09243822097778","0.0155980587005615","86.8948547840118","50.4459249973297","67.354700088501","0","1","FALSE","FALSE","NA","NA","31","0","1","1","0557113","7110113","2020-02-25 16:27:51"
"Neutral","Like","Unlike","Like","Neutral","Unlike","Unlike","Like","Neutral","Neutral","Like","Like","Neutral","Unlike","Neutral","Unlike","Like","Like","Like","Neutral","Neutral","Unlike","Like","Neutral","Like","Unlike","Neutral","Unlike","Neutral","Neutral","NA","NA","NA","cost of living will go up","NA","NA","We all pass wind so how does one entity pass more when never been checked?
","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C3","C7","C7","C9","C4","C2","C1","C8","C5","C5","C5","C6","C4","C3","C6","C2","C5","C8","C5","C4","C4","C3","C5","C7","C6","C4","C6","C3","C6","C7","24.6275429725647","0.0312380790710449","220.151983976364","169.682605981827","267.421941995621","3","0","FALSE","FALSE","NA","NA","30","0","0","0","6616270","0536842","2020-02-25 16:23:05"
"Neutral","Like","Unlike","Like","Unlike","Unlike","Unlike","Like","Neutral","Neutral","Neutral","Like","Like","Like","Like","Unlike","Like","Unlike","Neutral","Unlike","Like","Unlike","Neutral","Neutral","Like","Neutral","Neutral","Neutral","Neutral","Like","NA","That is my point of view.","That is my point of view.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C5","C9","C1","C8","C2","C2","C3","C8","C4","C4","C5","C7","C6","C5","C7","C3","C7","C3","C6","C3","C7","C5","C4","C4","C6","C4","C5","C5","C6","C6","6.18392300605774","0.0156102180480957","136.911145925522","39.5065138339996","146.62735414505","0","0","FALSE","FALSE","NA","NA","31","0","0","0","2375651","9952066","2020-02-25 16:29:03"
"Like","Neutral","Unlike","Neutral","Like","Unlike","Neutral","Like","Like","Like","Neutral","Like","Like","Like","Like","Unlike","Like","Neutral","Like","Neutral","Like","Like","Like","Like","Like","Like","Neutral","Like","Like","Like","NA","NA","I think it&rsquo;s a stupid and untrue statement","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","because it&rsquo;s true and could solve so many problems if we focused on it.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C7","C3","C1","C4","C5","C2","C3","C6","C6","C7","C4","C8","C8","C7","C5","C2","C6","C3","C9","C4","C4","C5","C6","C3","C6","C7","C5","C5","C4","C5","14.0060679912567","0.0156209468841553","78.9819090366364","33.1626410484314","192.702836990356","0","1","FALSE","FALSE","NA","NA","31","0","1","1","5216024","6535003","2020-02-25 16:30:06"
"Neutral","Like","Like","Like","Neutral","Neutral","Neutral","Neutral","Unlike","Neutral","Neutral","Like","Unlike","Neutral","Neutral","Unlike","Neutral","Like","Like","Neutral","Neutral","Unlike","Like","Unlike","Like","Unlike","Like","Unlike","Neutral","Neutral","NA","NA","NA","It will be the people who can least afford it that will be the most out of pocket if we go down this road of climate change. Big companies and the government should be the ones funding it as they are the ones who are causing it. IF this is climate change??","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","You should not be penalised by your opinions regarding ?? climate change. Whether your for it or against it has nothing to do with a job in public office.","NA","NA","NA","NA","NA","NA","NA","NA","C4","C8","C8","C9","C6","C5","C4","C4","C5","C2","C7","C6","C3","C3","C5","C2","C4","C7","C7","C6","C3","C1","C5","C7","C6","C4","C5","C3","C6","C5","13.1539759635925","0.0156259536743164","333.363739013672","260.286679983139","553.875375032425","3","0","FALSE","FALSE","NA","NA","40","0","1","1","7816788","2531817","2020-02-25 16:17:00"
"Like","Unlike","Unlike","Unlike","Neutral","Unlike","Neutral","Like","Like","Like","Neutral","Like","Neutral","Like","Like","Neutral","Like","Neutral","Like","Like","Neutral","Like","Like","Like","Neutral","Like","Like","Neutral","Like","Like","NA","NA","NA","NA","NA","NA","NA","NA","no impact","NA","NA","NA","NA","NA","NA","NA","NA","NA","nothing","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C8","C6","C5","C6","C4","C5","C3","C7","C9","C6","C5","C5","C6","C4","C3","C4","C2","C3","C1","C4","C2","C7","C6","C8","C4","C7","C7","C3","C5","C5","28.7890310287476","0.0157768726348877","78.2059619426727","45.2953901290894","125.746345043182","6","1","TRUE","FALSE","NA","NA","30","0","6","6","1064818","2331118","2020-02-25 16:31:59"
"Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Like","Neutral","Neutral","Unlike","Neutral","Like","Like","Neutral","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","it is good","good","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C6","C7","C5","C4","C4","C6","C8","C4","C3","C2","C5","C6","C7","C2","C1","C9","C6","C4","C5","C6","C5","C3","C3","C3","C5","C7","C7","C8","C4","C5","15.4296588897705","0.0155880451202393","106.787912130356","34.3505489826202","182.093955993652","3","1","FALSE","FALSE","NA","NA","33","0","5","5","3494736","4397312","2020-02-25 16:35:21"
"Like","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","not sure","no idea","C6","C5","C5","C5","C5","C5","C5","C4","C3","C7","C7","C6","C4","C4","C3","C6","C7","C6","C7","C4","C3","C2","C8","C6","C4","C3","C2","C8","C9","C1","9.19118189811707","0.0156590938568115","118.169574022293","33.9636850357056","906.590677976608","8","0","FALSE","FALSE","NA","NA","31","0","0","0","7784346","4371879","2020-02-25 16:23:36"
